topicGroup,topicGroup_title,topicGroup_desc,topic,topic_title,topic_image,topic_desc,topic_tags,topic_allowRandom,topic_allowPlayer,item,item_title,item_body,item_orderIndex,tag,tag_title,tag_desc
,,,,,,,,,,q15,Вопрос 15,Самое большое достижение в твоей жизни?,15,,,
,,,,,,,,,,q16,Вопрос 16,Что в дружбе для тебя наиболее ценно?,16,,,
,,,,,,,,,,q17,Вопрос 17,Какое твое самое дорогое воспоминание?,17,,,
,,,,,,,,,,q18,Вопрос 18,А самое ужасное воспоминание?,18,,,
,,,,,,,,,,q19,Вопрос 19,"Если бы ты знал, что умрешь через год, что бы ты изменил в том, как ты живете? Почему?",19,,,
,,,,,,,,,,q20,Вопрос 20,Что для тебя значит дружба?,20,,,
,,,,,,,,,,q21,Вопрос 21,Какую роль любовь и нежность играют в твоей жизни?,21,,,
,,,,,,,,,,q22,Вопрос 22,По очереди называй партнеру его положительные черты (обменяйтесь пятью характеристиками).,22,,,
,,,,,,,,,,q23,Вопрос 23,В твоей семье отношения теплые и близкие?,23,,,
,,,,,,,,,,q24,Вопрос 24,Что ты чувствуешь в связи с твоими отношениями с матерью?,24,,,
,,,,,,,,,,q25,Вопрос 25,"Составьте каждый по три утверждения, верных для вас обоих. Например, «Мы оба сейчас чувствуем…»",25,,,
,,,,,,,,,,q26,Вопрос 26,"Продолжите фразу: «Я бы хотел, чтобы был кто-то, с кем можно разделить…»",26,,,
,,,,,,,,,,q27,Вопрос 27,"Если ты собирался стать близким другом для твоего партнера, что бы ты ему рассказал прямо сейчас?",27,,,
,,,,,,,,,,q28,Вопрос 28,"Расскажи партнеру, что тебе нравится в нем; говори прямо, произноси вещи, которые ты не мог бы сказать случайному знакомому.",28,,,
,,,,,,,,,,q29,Вопрос 29,Поделись с парт­нером неприятной ситуацией или смущающим моментом из твоей жизни.,29,,,
,,,,,,,,,,q30,Вопрос 30,Когда ты в последний раз плакал при ком-нибудь? А в одиночестве?,30,,,
,,,,,,,,,,q31,Вопрос 31,"Расскажи своему партнеру, что ты уже сейчас ценишь в нем (в ней).",31,,,
,,,,,,,,,,q32,Вопрос 32,"По-твоему, какая тема слишком серьезна, чтобы шутить об этом?",32,,,
,,,,,,,,,,q33,Вопрос 33,"Если бы ты должен был умереть сегодня до конца дня, ни с кем не поговорив, о чем несказанном ты бы больше всего жалел? Почему ты еще не сказал этого?",33,,,
,,,,,,,,,,q34,Вопрос 34,"Твой дом со всем имуществом загорелся. После спасения близких и домашних животных у тебя есть время, чтобы забежать в дом и спасти еще что-то. Что бы ты взял? Почему?",34,,,
,,,,,,,,,,q35,Вопрос 35,Смерть кого из членов твоей семьи расстроила бы тебя больше всего? Почему?,35,,,
,,,,,,,,,,q36,Вопрос 36,"Поделись личной проблемой и спроси партнера, как он бы справился с ней. Затем спроси, что он думает о твоих чувствах по поводу этой проблемы.",36,,,
,,,,,,,,,,,,,,personal,Личное,Вопросы о личном
,,,,,,,,,,,,,,psychology,Психология,То что касается нашей психики
personal,Личное,"Вопросы о том, что непосредственно касается собеседника",,,,,,,,,,,,,,
,,,mundate,Быт,icons8-home-50.png,"О том, что собеседник делает",personal,1,1,,,,,,,
,,,,,,,,,,q1,,Что ты планируешь делать на следующей неделе?,,,,
,,,,,,,,,,q2,,Какое приложение в твоем телефоне ты бы хотела использовать чаще?,,,,
,,,,,,,,,,q3,,О чем ты думаешь в душе?,,,,
,,,,,,,,,,q4,,"Что самое милое, что вы можете себе представить? Что-то такое милое, это почти больно.",,,,
,,,,,,,,,,q5,,"За что ты действительно возмущаешься, платя?",,,,
,,,,,,,,,,q6,,Где вы берете свои новости?,,,,
,,,,,,,,,,q7,,Какая самая старая вещь у вас есть?,,,,
,,,,,,,,,,q8,,"Расскажи что-нибудь, чего я точно не знаю.",,,,
,,,,,,,,,,q9,,"Какой у тебя любимый ресторан, бар или кафе?",,,,
,,,,,,,,,,q10,,Какой устаревший сленг вы используете регулярно?,,,,
,,,,,,,,,,q11,,"Как ты засыпаешь, когда не можешь заснуть?",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,preference,Вкусы и предпочтения,icons8-heart-puzzle-50.png,"О том, что собеседник любит и ценит",,1,1,,,,,,,
,,,,,,,,,,q1,,Что тебе нравится и не нравится в свиданиях?,,,,
,,,,,,,,,,q2,,Какой стереотип о мужчинах / женщинах ты ненавидишь больше всего?,,,,
,,,,,,,,,,q3,,Что может мгновенно вызвать в тебе отторжение к человеку?,,,,
,,,,,,,,,,q4,,Что ты любишь на ужин/завтрак?,,,,
,,,,,,,,,,q5,,Куда бы ты поехала в самую последнюю очередь?,,,,
,,,,,,,,,,q6,,"О чем бы ты хотела, чтобы люди перестали тебя спрашивать?",,,,
,,,,,,,,,,q7,,Какой частью своей культуры ты гордишься больше всего и меньше всего?,,,,
,,,,,,,,,,q8,,"Какой странный аромат картофельных чипсов, который не существует, вы бы хотели попробовать?",,,,
,,,,,,,,,,q9,,"Твоё самое большое увлечение, и чем бы ты хотела быть более увлечена?",,,,
,,,,,,,,,,q10,,Самая раздражающая вещь по твоему мнению?,,,,
,,,,,,,,,,q11,,Какой странный запах тебе действительно нравится?,,,,
,,,,,,,,,,q12,,"На что бы ты хотела, чтобы у тебя было больше времени?",,,,
,,,,,,,,,,q13,,Какое слово больше всего режет слух?,,,,
,,,,,,,,,,q14,,"Если бы ты могла посвятить свою жизнь решению одной проблемы, какую проблему ты бы выбрала?",,,,
,,,,,,,,,,q15,,Какой твой любимый способ знакомиться с новыми людьми?,,,,
,,,,,,,,,,q16,,Что ты действительно хочешь знать?,,,,
,,,,,,,,,,q17,,Какую милашечную песню ты любишь?,,,,
,,,,,,,,,,q18,,Чем ты стала недавно одержима?,,,,
,,,,,,,,,,q19,,Какой вымышленный персонаж действительно интригует тебя?,,,,
,,,,,,,,,,q20,,"Какой стиль дизайна тебе нравится больше всего? Дизайн или стиль в архитектуре, интерьере, искусстве, автомобилях, телефонах или где-нибудь ещё.",,,,
,,,,,,,,,,q21,,"Если бы ты могла просматривать электронную почту какого-то человека без их осведомлённости, за кем бы ты шпионила?",,,,
,,,,,,,,,,q22,,О чем можно говорить весь день?,,,,
,,,,,,,,,,q23,,О чем ты часто и увлечением рассказываешь?,,,,
,,,,,,,,,,q24,,Какое мороженое самое классное?,,,,
,,,,,,,,,,q25,,Каковы ваши самые важные правила при посещении свидания?,,,,
,,,,,,,,,,q26,,Какой ужасный фильм ты любишь?,,,,
,,,,,,,,,,q27,,Какую текущую тенденцию вы надеетесь сохранить в течение длительного времени?,,,,
,,,,,,,,,,q28,,Как вы судите человека?,,,,
,,,,,,,,,,q29,,Как бы выглядел ваш идеальный бар?,,,,
,,,,,,,,,,q30,,де лучшее место для прогулок?,,,,
,,,,,,,,,,q31,,"Вам нравится, когда вещи тщательно планируются, или вы предпочитаете просто плыть по течению?",,,,
,,,,,,,,,,q32,,"Какие мелочи вы знаете, что это очень интересно, но и очень бесполезно?",,,,
,,,,,,,,,,q33,,Какое животное самое величественное?,,,,
,,,,,,,,,,q34,,Какое животное самое красивое?,,,,
,,,,,,,,,,q35,,Какую пищу вы предпочитаете чаще всего?,,,,
,,,,,,,,,,q36,,Какие небольшие изменения значительно улучшают внешность человека?,,,,
,,,,,,,,,,q37,,Какие небольшие изменения сильно портят внешность человека?,,,,
,,,,,,,,,,q38,,Какие сны приятнее всего?,,,,
,,,,,,,,,,q39,,Какой самый раздражающий шум?,,,,
,,,,,,,,,,q40,,Какой самый худший комплимент можно сделать кому-нибудь?,,,,
,,,,,,,,,,q41,,"Что-то, что люди думают, заставляет их выглядеть круто, но на самом деле имеет противоположный эффект?",,,,
,,,,,,,,,,q42,,"Какого исполнителя или группу вы всегда рекомендуете, когда кто-то просит музыкальную рекомендацию?",,,,
,,,,,,,,,,q43,,Какое самое отвратительное звучащее слово в языке?,,,,
,,,,,,,,,,q44,,Какие вымышеленные персонажи восхищают тебя больше всего?,,,,
,,,,,,,,,,q45,,Какие цитаты из фильмов вы используете регулярно?,,,,
,,,,,,,,,,q46,,Из какого фильма или книги вы знаете больше всего цитат?,,,,
,,,,,,,,,,q47,,Какие вещи вы любите готовить или умеете готовить?,,,,
,,,,,,,,,,q48,,Какое самое смешное животное на планете?,,,,
,,,,,,,,,,q49,,"Что невероятно дешево, и вы бы заплатили гораздо больше?",,,,
,,,,,,,,,,q50,,Какие странные пищевые комбинации вам действительно нравятся?,,,,
,,,,,,,,,,q51,,Какую компанию вы презираете?,,,,
,,,,,,,,,,q52,,Какую пищу можно разжижать и пить через соломинку?,,,,
,,,,,,,,,,q53,,"Что всегда поднимает тебе настроение, когда ты думаешь об этом?",,,,
,,,,,,,,,,q54,,Какой марке вы больше всего лояльны?,,,,
,,,,,,,,,,q55,,"Что вас интересует, что большинство людей не интересует?",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,experience,Личный опыт,icons8-reminder-50.png,"О том, что происходило или происходит с собеседником",,1,1,,,,,,,
,,,,,,,,,,q1,,С каким заблуждением о себе ты сталкиваешься чаще всего?,,,,
,,,,,,,,,,q2,,Какое у тебя самое яркое воспоминание из детства?,,,,
,,,,,,,,,,q3,,Ты любишь больше кошек или собак?,,,,
,,,,,,,,,,q4,,С чем ты полностью покончила?,,,,
,,,,,,,,,,q5,,К какому воспоминанию ты просто возвращаешься?,,,,
,,,,,,,,,,q6,,Какая самая нелепая стычка у тебя была в жизни?,,,,
,,,,,,,,,,q7,,Какой самый большой урок тебе преподала жизнь?,,,,
,,,,,,,,,,q8,,Какой случайный прохожий оказал наибольшее влияние на твою жизнь?,,,,
,,,,,,,,,,q9,,"Каким достижением ты гордишься, но большинство людей посчитало бы это глупым или странным?",,,,
,,,,,,,,,,q10,,"Что ты давно хочешь начать, но всё никак не получается?",,,,
,,,,,,,,,,q11,,"Кто был самым плохим гостем в твоем доме, и что они сделали?",,,,
,,,,,,,,,,q12,,"Когда время пролетает быстрее всего, а когда тянется очень медленно?",,,,
,,,,,,,,,,q13,,Какой лучший язвительный ответ ты когда-либо слышала?,,,,
,,,,,,,,,,q14,,Какая самая странная традиция в твоей семье?,,,,
,,,,,,,,,,q15,,"Кто был самым помешанным на власти человеком, которого ты встречала?",,,,
,,,,,,,,,,q16,,"Признаков того, что парень стрёмный, жуткий и пугающий?",,,,
,,,,,,,,,,q17,,Какое у тебя самое первое воспоминание?,,,,
,,,,,,,,,,q18,,Какой лучший прикольный подарок ты когда-либо видела или получала?,,,,
,,,,,,,,,,q19,,Какой лучший совет ты когда-либо получала?,,,,
,,,,,,,,,,q20,,"Какая самая лучшая шутка из тех, которую ты сказала или слышала?",,,,
,,,,,,,,,,q21,,"Что-то странное, что ты рекомендуешь всем попробовать хотя бы один раз?",,,,
,,,,,,,,,,q22,,"Оглядываясь назад на свою жизнь, что ты сделала, что принесло тебе наибольшее удовлетворение?",,,,
,,,,,,,,,,q23,,"Последний раз, когда твоя интуиция тебя не подвела? Как насчет того времени, когда интуиция оказалась не права?",,,,
,,,,,,,,,,q24,,"Какая самая большая ложь, которую кто-то тебе сказал?",,,,
,,,,,,,,,,q25,,"Что самое худшее, что ты слышала, когда один человек говорил другому?",,,,
,,,,,,,,,,q26,,Каким был твой самый запоминающийся сон или кошмар?,,,,
,,,,,,,,,,q27,,"Назови нелепость, в которой ты кого-то убедила в том, что это правда?",,,,
,,,,,,,,,,q28,,"Самый большой выброс денег, который ты видела?",,,,
,,,,,,,,,,q29,,Какую последнюю катастрофу ты предотвратила?,,,,
,,,,,,,,,,q30,,"Когда ты была ребенком, какой глупости ты смертельно боялась?",,,,
,,,,,,,,,,q31,,"Самая бесящая вещь, которую ты делала или должна была перетерпеть?",,,,
,,,,,,,,,,q32,,Какую худшую книгу ты была вынуждена прочитать в школе?,,,,
,,,,,,,,,,q33,,"Что всегда подводит тебя, и что тебя никогда не подводит?",,,,
,,,,,,,,,,q34,,"О чем ты полностью изменила свое мнение, перейдя от веры в одно к вере прямо противоположной этому?",,,,
,,,,,,,,,,q35,,Что было самым разочаровывающим концом крутой книги / фильма / игры?,,,,
,,,,,,,,,,q36,,"Кто самый счастливый человек, которого ты знаешь?",,,,
,,,,,,,,,,q37,,Какой у тебя любимый сувенир?,,,,
,,,,,,,,,,q38,,"Какой твой самый лучший лайфхак, который ставить этику под вопрос?",,,,
,,,,,,,,,,q39,,"Какое лучшее решение, которое ты когда-либо принимала?",,,,
,,,,,,,,,,q40,,Какая ужасная история у тебя от работы?,,,,
,,,,,,,,,,q41,,Кто был вашим сумасшедшим / самым интересным учителем?,,,,
,,,,,,,,,,q42,,Какая самая грустная сцена в фильме или сериале?,,,,
,,,,,,,,,,q43,,"Кто самый творческий человек, которого вы знаете?",,,,
,,,,,,,,,,q44,,"Какая самая яркая игра, в которую вы играли?",,,,
,,,,,,,,,,q45,,Какие блестящие примеры неверного направления вы видели?,,,,
,,,,,,,,,,q46,,"Каким самым эпичным образом вы видели, как кто-то ушел или был уволен?",,,,
,,,,,,,,,,q47,,"Какой, казалось бы, невинный вопрос заставляет вас думать: «Это ловушка!»?",,,,
,,,,,,,,,,q48,,Какие знания инсайдера есть только у людей в вашей сфере деятельности?,,,,
,,,,,,,,,,q49,,Какая твоя лучшая история со свадьбы?,,,,
,,,,,,,,,,q50,,"Где самое неудобное место, в котором вы когда-либо спали?",,,,
,,,,,,,,,,q51,,"Когда что-то начиналось плохо для тебя, но в конце концов это было здорово?",,,,
,,,,,,,,,,q52,,Какой самый странный разговор ты подслушал?,,,,
,,,,,,,,,,q53,,Какой лучший урок вы выучили из художественного произведения?,,,,
,,,,,,,,,,q54,,"Что было самым большим осознанием, которое вы имели о себе?",,,,
,,,,,,,,,,q55,,Какое творческое использование смайликов вы когда-либо видели?,,,,
,,,,,,,,,,q56,,"Когда было самое неподходящее время, когда ты смеялся?",,,,
,,,,,,,,,,q57,,Когда в последний раз вы на кого-то кричали?,,,,
,,,,,,,,,,q58,,Какие у вас были лучшие каникулы?,,,,
,,,,,,,,,,q59,,Какая самая трудная работа у тебя была?,,,,
,,,,,,,,,,q60,,Из какого фильма или книги вы знаете больше всего цитат?,,,,
,,,,,,,,,,q61,,Когда в последний раз вы не спали всю ночь? ,,,,
,,,,,,,,,,q62,,О какой глупости кто-то спорит с тобой?,,,,
,,,,,,,,,,q63,,С чем вам чаще всего нужна помощь?,,,,
,,,,,,,,,,q64,,"Какую самую подозрительную вещь ты видел, чтобы кто-то делал? ",,,,
,,,,,,,,,,q65,,Какие хитрости и советы у тебя есть с твоей работы?,,,,
,,,,,,,,,,q66,,Какая твоя самая нелепая покупка?,,,,
,,,,,,,,,,q67,,С чем согласны все твои друзья?,,,,
,,,,,,,,,,q68,,Каким лучшим образом вы или кто-то из ваших знакомых вылезли из билета / проблемы с законом?,,,,
,,,,,,,,,,q69,,"Какая самая смешная комедия, которую ты видел?",,,,
,,,,,,,,,,q70,,"Какую вещь, вызывающую беспокойство, вы делаете регулярно?",,,,
,,,,,,,,,,q71,,В какую игру вы потратили больше всего часов? ,,,,
,,,,,,,,,,q72,,Какую самую удручающую еду ты съел?,,,,
,,,,,,,,,,q73,,Какие вещи “старого человека” ты делаешь?,,,,
,,,,,,,,,,q74,,"Что самое неловкое, что происходит с вами регулярно?",,,,
,,,,,,,,,,q75,,"Что самое странное, что случилось с вами, когда вы работали на работе?",,,,
,,,,,,,,,,q76,,Где ты больше не приветствуешься?,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,dreams,Мечты и цели,icons8-goal-50.png,"О том, чего собеседник хочет достичь",,1,1,,,,,,,
,,,,,,,,,,q1,,На каких языках вы хотели бы говорить?,,,,
,,,,,,,,,,q2,,"Что вы делаете, чтобы сделать мир лучше?",,,,
,,,,,,,,,,q3,,"Какую еду ты никогда не ел, но очень хотел бы попробовать?",,,,
,,,,,,,,,,q4,,Большинство людей хотят быть богатыми по той или иной причине. Почему ты хочешь быть богатой? Что было бы самым большим преимуществом богатства?,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,personality,Личность,icons8-contacts-50.png,"О личности собеседника, как они себя видят?",,1,1,,,,,,,
,,,,,,,,,,q1,,Что заставляет тебя нервничать?,,,,
,,,,,,,,,,q2,,Ты жаворонок или сова?,,,,
,,,,,,,,,,q3,,Чем ты славишься среди своих друзей?,,,,
,,,,,,,,,,q4,,Какой твой самый необычный страх?,,,,
,,,,,,,,,,q5,,На какого персонажа фильма или книги ты больше всего похожа?,,,,
,,,,,,,,,,q6,,Насколько ты решительна или нерешительна?,,,,
,,,,,,,,,,q7,,"Как ты думаешь, что люди автоматически думают о тебе, когда смотрят на тебя?",,,,
,,,,,,,,,,q8,,"На какие области твоей жизни ты возлагаешь большие надежды, и что это за большие надежды?",,,,
,,,,,,,,,,q9,,Что ты любишь в себе?,,,,
,,,,,,,,,,q10,,Что тебя удивляет?,,,,
,,,,,,,,,,q11,,Что странного в тебе?,,,,
,,,,,,,,,,q12,,Какая твоя причина вставать с постели по утрам?,,,,
,,,,,,,,,,q13,,"Какой вопрос ты всегда хотела задать, но боялась выглядеть глупо?",,,,
,,,,,,,,,,q14,,Каков твой секретный талант?,,,,
,,,,,,,,,,q15,,Какие ценности наиболее важны для тебя?,,,,
,,,,,,,,,,q16,,Насколько ты планируешь будущее?,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
puzzle,На подумать,Задачки и загадки,,,,,,,,,,,,,,
,,,logical,Логические,icons8-brain-50.png,Логические задачки,,1,1,q1,,Что противоположно коале?,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
society,Общество,Вопросы на социальные и политические темы,,,,,,,,,,,,,,
,,,actual,Острые темы,icons8-user-groups-50.png,Отношение к актуальным вопросам,,1,1,,,,,,,
,,,,,,,,,,q1,,Что становится все более социально приемлемым?,,,,
,,,,,,,,,,q2,,Плюсы и минусы быть женщиной?,,,,
,,,,,,,,,,q3,,В каком веке была лучшая мода?,,,,
,,,,,,,,,,q4,,Какое на твой взгляд важное изменение должно быть сделано в системе образования в твоей стране?,,,,
,,,,,,,,,,q5,,"Что всегда звучит, как хорошая идея, но редко оказывается такой?",,,,
,,,,,,,,,,q6,,"Люди принципиально отличаются от животных? Если так, что нас отличает?",,,,
,,,,,,,,,,q7,,"О чем люди часто притворяются, что им это нравится или вводят себя в заблуждение, что им это нравится?",,,,
,,,,,,,,,,q8,,"Животное, которое тебя удивляет, что оно еще не вымерло?",,,,
,,,,,,,,,,q9,,"Какая часть культуры или какой тренд исчезли, но ты бы хотела, чтобы они вернулись?",,,,
,,,,,,,,,,q10,,"Что-то ужасное, что мы, люди, приняли, просто потому что так обстоят дела, но на самом деле так не должно быть?",,,,
,,,,,,,,,,q11,,"Что становится страннее, чем больше ты думаешь об этом?",,,,
,,,,,,,,,,q12,,О каком событии ты хотела бы знать всю правду?,,,,
,,,,,,,,,,q13,,"Какие устаревшие обычаи, которые больше не имеют смысла, но люди все еще следуют им просто по традиции?",,,,
,,,,,,,,,,q14,,"Помимо повышения или более продолжительного отпуска, какой лучший бонус компания может предложить сотрудникам?",,,,
,,,,,,,,,,q15,,"На какой навык ты бы хотела, чтобы больше людей нашли время для того, чтобы его приобрести или выучиться ему?",,,,
,,,,,,,,,,q16,,"Что на самом деле произошло, но кажется абсурдным и нереальным?",,,,
,,,,,,,,,,q17,,"Какими личностными качествами люди гордятся, но не должны?",,,,
,,,,,,,,,,q18,,"Что романтизировано в современной культуре, но не должно быть?",,,,
,,,,,,,,,,q19,,"Что лучше всего сказать кому-то, чтобы его подбодрить и воодушевить, когда он чувствует себя подавленным?",,,,
,,,,,,,,,,q20,,Какая худшая черта может быть у человека?,,,,
,,,,,,,,,,q21,,"Что-то, что никто не хочет слышать, но каждый должен?",,,,
,,,,,,,,,,q22,,Что делает кого-то «хорошим» человеком?,,,,
,,,,,,,,,,q23,,"Какое изобретение не получает много любви, но значительно улучшило мир?",,,,
,,,,,,,,,,q24,,"Что-то, о чем люди не волнуются, но действительно должны?",,,,
,,,,,,,,,,q25,,Каковы некоторые из наиболее распространенных заблуждений?,,,,
,,,,,,,,,,q26,,"Как вы думаете, какое большое событие произойдет в ближайшее время, чего большинство людей не ожидают?",,,,
,,,,,,,,,,q27,,"Что самое странное в современной жизни, которую люди воспринимают как нормальную?",,,,
,,,,,,,,,,q28,,Что скоро станет лучше?,,,,
,,,,,,,,,,q29,,Какая текущая тенденция не имеет смысла для вас?,,,,
,,,,,,,,,,q30,,"Какой продукт или услуга дороже, чем нужно?",,,,
,,,,,,,,,,q31,,Какая самая жуткая технология сейчас существует?,,,,
,,,,,,,,,,q32,,Какие у вас прогнозы на ближайшее будущее?,,,,
,,,,,,,,,,q33,,"Какие две вещи ужасны, когда разделены, но велики, когда вы соединяете их вместе?",,,,
,,,,,,,,,,q34,,Что действительно нужно модернизировать?,,,,
,,,,,,,,,,q35,,Что насчет противоположного пола вас смущает больше всего?,,,,
,,,,,,,,,,q36,,Какая профессия не получает достаточно кредитов или уважения?,,,,
,,,,,,,,,,q37,,От какой тенденции вы устали?,,,,
,,,,,,,,,,q38,,"Что лучше сломано, чем целое?",,,,
,,,,,,,,,,q39,, Какой самый переоцененный продукт на рынке?,,,,
,,,,,,,,,,q40,,Когда цензура оправдана?,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,experiment,Мысленные эксперименты,icons8-girl-with-chemical-test-tube-50.png,"Что было бы, если…?",,1,1,,,,,,,
,,,,,,,,,,q1,,"Как бы изменился мир, если бы супер-герои и супер-злодеи реально существовали?",,,,
,,,,,,,,,,q2,,Твоя стратегия выживания после апокалиптической эпидемии?,,,,
,,,,,,,,,,q3,,"Если бы ты могла поместить свой мозг в робота и жить бесконечно, ты бы сделала это?",,,,
,,,,,,,,,,q4,,"Если бы ты могла заменить приветствие рукопожатием на что-то более интересное, что бы это было?",,,,
,,,,,,,,,,q5,,"Если бы ты могла выбрать кого-нибудь, кто жив или мертв, то кого бы ты выбрала возглавить нашу страну?",,,,
,,,,,,,,,,q6,,"Чего не существует, но ты отчаянно хочешь / нуждаешься в этом?",,,,
,,,,,,,,,,q7,,"Придумай опции/варианты, если бы ты могла «щелкнуть правой кнопкой мыши» людей?",,,,
,,,,,,,,,,q8,,"Если бы ты была игрушкой, с какими аксессуарами ты бы продавалась?",,,,
,,,,,,,,,,q9,,"Если бы все было количественно определено, какую жизненную статистику ты бы хотела увидеть своими глазами?",,,,
,,,,,,,,,,q10,,"Если бы тебе дали 100 000 долларов, но их можно было бы использовать только для улучшения твоего душа или ванны, какие улучшения ты бы сделала?",,,,
,,,,,,,,,,q11,,"Если многие люди считают, что красный символизирует гнев / страсть, голубой - грусть, зеленый - зависть, то какие чувства будут воплощать фиолетовый, бирюзовый, серебряный и коричневый?",,,,
,,,,,,,,,,q12,,"Если бы ты могла носить только один наряд всю оставшуюся жизнь, что бы это было?",,,,
,,,,,,,,,,q13,,"Что бы ты сделала, если бы знала, что мировая война начнется через три месяца?",,,,
,,,,,,,,,,q14,,"Если бы ты могла знать одну правду о себе, истории, мире или даже вселенной, какую истину ты бы хотела знать?",,,,
,,,,,,,,,,q15,,"Что было бы написано на твоем ярлыке с предупреждением, если бы у каждого был ярлык?",,,,
,,,,,,,,,,q16,,"Если бы ты могла самостоятельно разработать для себя орган, что бы он делал, и где бы он был?",,,,
,,,,,,,,,,q17,,"Если бы тебе пришлось выбирать своего супруга, основываясь только на одном вопросе, какой вопрос ты бы задала?",,,,
,,,,,,,,,,q18,,"Если бы деньги не были проблемой, в какой компании, по твоему мнению, было бы интересно работать?",,,,
,,,,,,,,,,q19,,"О чем многие люди имеют очень сильные мнения, даже если они очень мало знают об этом?",,,,
,,,,,,,,,,q20,,"Если бы вам дали тысячу акров земли, с которой вам не нужно было платить налоги, но вы не могли продать, что бы вы сделали с этим?",,,,
,,,,,,,,,,q21,,"Каким был бы мир, населенный вашими клонами?",,,,
,,,,,,,,,,q22,,"Если люди получат пурпурное сердце за храбрость, что будут представлять другие цветные сердца?",,,,
,,,,,,,,,,q23,,"Если бы существовала книга заповедей для современного мира, какими были бы некоторые правила?",,,,
,,,,,,,,,,q24,,"Если бы вы переезжали в другую страну, но могли упаковать только одну ручную сумку, что бы вы упаковали?",,,,
,,,,,,,,,,q25,,Какой будет точная метка для каждого месяца?,,,,
,,,,,,,,,,q26,,Какая вселенная кино была бы наихудшей для жизни?,,,,
,,,,,,,,,,q27,,"Если вы хотите медленно сводить с ума соседа по комнате, используя только заметки, какие сообщения вы бы оставляли в доме?",,,,
